alert_type,severity,detected_at,details
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299174,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.44 | Qty 3863.172
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299200,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.96 | Qty 3870.1146
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299225,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.64 | Qty 3874.4261
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299251,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.17 | Qty 3938.3139
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299277,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.09 | Qty 3942.7154
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299304,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.77 | Qty 3946.193
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299330,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.46 | Qty 3946.7457
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299355,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.99 | Qty 4022.222
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299381,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.54 | Qty 4034.6356
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299410,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.59 | Qty 4034.7903
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299436,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.6 | Qty 4038.5923
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299462,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.23 | Qty 4132.2513
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299487,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.6 | Qty 4135.1386
